"parameter_id","group_id"
"IMPC_IMM_274_001",4
"IMPC_IMM_278_001",4
"IMPC_IMM_281_001",4
"IMPC_IMM_284_001",4
"IMPC_IMM_287_001",4
"IMPC_IMM_290_001",4
"IMPC_IMM_293_001",4
"IMPC_IMM_296_001",4
"IMPC_IMM_299_001",4
"IMPC_IMM_302_001",4
"IMPC_IMM_305_001",4
"IMPC_IMM_310_001",4
"IMPC_IMM_314_001",4
"IMPC_IMM_318_001",4
"IMPC_IMM_322_001",4
"IMPC_IMM_326_001",4
"IMPC_ELZ_030_001",4
"IMPC_ELZ_031_001",4
"IMPC_ELZ_032_001",4
"IMPC_ELZ_035_001",4
"IMPC_ELZ_036_001",4
"IMPC_ELZ_040_001",2
"IMPC_ELZ_040_001",4
"IMPC_ELZ_041_001",4
"IMPC_ELZ_042_001",2
"IMPC_ELZ_043_001",2
"IMPC_ELZ_044_001",2
"IMPC_ELZ_045_001",2
"IMPC_ELZ_046_001",2
"IMPC_ELZ_047_001",2
"IMPC_ELZ_051_001",5
"IMPC_ELZ_063_001",3
"IMPC_ELZ_064_001",3
"IMPC_ELZ_068_001",3
"IMPC_ELZ_069_001",3
"IMPC_ELZ_070_001",3
"IMPC_ELZ_071_001",3
"IMPC_ELZ_071_001",4
"IMPC_ELZ_081_001",3
"IMPC_ELZ_082_001",5
"IMPC_ELZ_085_001",3
"IMPC_ELZ_086_001",3
"IMPC_ELZ_087_001",3
"IMPC_ELZ_091_001",3
"IMPC_ELZ_092_001",2
"IMPC_PAT_001_001",2
"IMPC_PAT_002_001",2
"IMPC_PAT_002_001",5
"IMPC_PAT_003_001",2
"IMPC_PAT_006_001",4
"IMPC_PAT_022_001",1
"IMPC_PAT_049_001",1
"IMPC_PAT_055_001",4
"IMPC_PAT_057_001",3
"IMPC_PAT_059_001",4
"IMPC_HOU_001_001",1
"IMPC_HOU_031_001",1
"IMPC_HOU_042_001",1
"IMPC_HOU_043_001",1
"IMPC_HOU_043_001",4
"IMPC_HOU_044_001",1
"IMPC_HOU_045_001",1
"IMPC_HOU_048_001",1
"IMPC_HOU_049_001",1
"IMPC_HOU_051_001",1
"IMPC_HOU_066_001",1
"IMPC_HWT_007_001",1
"IMPC_HWT_008_001",1
"IMPC_HWT_008_001",4
"IMPC_HWT_009_001",4
"IMPC_HWT_002_001",1
"IMPC_HWT_012_001",1
"IMPC_HWT_012_001",4
"IMPC_HWT_013_001",1
"IMPC_HWT_013_001",4
"IMPC_IMM_001_001",1
"IMPC_GEL_003_001",4
"IMPC_GEL_004_001",4
"IMPC_GEL_005_001",4
"IMPC_GEL_007_001",4
"IMPC_GEL_008_001",4
"IMPC_GEL_016_001",4
